response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.4442,0.0000,0.0000,0.0000,1.4441,0.0000,200,6.0971
1.2855,0.0000,0.0000,0.0000,1.2854,0.0001,200,6.4088
1.5230,0.0000,0.0000,0.0000,1.5229,0.0000,200,6.1790
1.2782,0.0000,0.0000,0.0000,1.2781,0.0000,200,6.4351
1.4600,0.0000,0.0000,0.0000,1.4599,0.0001,200,6.3685
1.1727,0.0000,0.0000,0.0000,1.1726,0.0001,200,6.6978
1.5614,0.0000,0.0000,0.0000,1.5613,0.0001,200,6.4065
1.5351,0.0000,0.0000,0.0000,1.5350,0.0001,200,6.4991
1.4926,0.0000,0.0000,0.0000,1.4925,0.0001,200,6.5671
1.8196,0.0000,0.0000,0.0000,1.8195,0.0000,200,6.2460
1.5120,0.0000,0.0000,0.0000,1.5119,0.0001,200,6.5980
1.7118,0.0000,0.0000,0.0000,1.7117,0.0000,200,6.4088
1.5254,0.0000,0.0000,0.0000,1.5254,0.0000,200,6.5970
1.6725,0.0000,0.0000,0.0000,1.6724,0.0001,200,6.5884
1.7789,0.0000,0.0000,0.0000,1.7788,0.0001,200,6.5877
1.7362,0.0000,0.0000,0.0000,1.7361,0.0001,200,6.6339
1.8478,0.0000,0.0000,0.0000,1.8477,0.0001,200,6.5948
1.8088,0.0000,0.0000,0.0000,1.8087,0.0001,200,6.6496
1.7234,0.0000,0.0000,0.0000,1.7233,0.0001,200,6.7830
1.9334,0.0000,0.0000,0.0000,1.9333,0.0001,200,6.5794
1.8018,0.0000,0.0000,0.0000,1.8017,0.0000,200,6.7158
1.8239,0.0000,0.0000,0.0000,1.8238,0.0001,200,6.7192
1.8578,0.0000,0.0000,0.0000,1.8577,0.0001,200,6.7360
1.8554,0.0000,0.0000,0.0000,1.8553,0.0000,200,6.7493
2.1779,0.0000,0.0000,0.0000,2.1778,0.0000,200,6.4279
1.9706,0.0000,0.0000,0.0000,1.9706,0.0000,200,6.6352
1.7888,0.0000,0.0000,0.0001,1.7886,0.0001,200,6.8382
1.6246,0.0000,0.0000,0.0000,1.6245,0.0001,200,7.0279
1.8460,0.0000,0.0000,0.0001,1.8459,0.0001,200,6.8206
1.8743,0.0000,0.0000,0.0000,1.8742,0.0001,200,6.8540
2.1280,0.0000,0.0000,0.0000,2.1279,0.0001,200,6.6422
2.0599,0.0000,0.0000,0.0000,2.0599,0.0001,200,6.7399
2.0864,0.0000,0.0000,0.0000,2.0864,0.0000,200,6.7163
2.0421,0.0000,0.0000,0.0000,2.0420,0.0001,200,6.7842
2.1050,0.0000,0.0000,0.0000,2.1048,0.0001,200,6.7519
1.8531,0.0000,0.0000,0.0000,1.8530,0.0001,200,7.0518
2.0353,0.0000,0.0000,0.0000,2.0352,0.0001,200,6.9222
2.1329,0.0000,0.0000,0.0000,2.1328,0.0001,200,6.9001
2.4032,0.0000,0.0000,0.0000,2.4030,0.0001,200,6.7317
2.1766,0.0000,0.0000,0.0000,2.1765,0.0000,200,6.9674
2.3245,0.0000,0.0000,0.0000,2.3244,0.0001,200,6.8572
2.3928,0.0000,0.0000,0.0001,2.3927,0.0001,200,6.8073
2.2120,0.0000,0.0000,0.0000,2.2119,0.0001,200,6.9959
2.2047,0.0000,0.0000,0.0000,2.2046,0.0001,200,7.0405
2.2466,0.0000,0.0000,0.0001,2.2464,0.0001,200,7.0634
2.2820,0.0000,0.0000,0.0000,2.2819,0.0001,200,7.2396
2.4710,0.0000,0.0000,0.0000,2.4709,0.0001,200,7.1811
2.3011,0.0000,0.0000,0.0000,2.3010,0.0001,200,7.3800
2.4375,0.0000,0.0000,0.0000,2.4374,0.0001,200,7.4541
2.3258,0.0000,0.0000,0.0000,2.3257,0.0001,200,7.6944
2.3241,0.0000,0.0000,0.0000,2.3241,0.0000,200,7.7020
2.5650,0.0000,0.0000,0.0000,2.5649,0.0001,200,7.5258
2.5710,0.0000,0.0000,0.0000,2.5709,0.0000,200,7.5413
2.5151,0.0000,0.0000,0.0000,2.5150,0.0001,200,7.7133
2.4339,0.0000,0.0000,0.0000,2.4337,0.0001,200,7.8285
2.2380,0.0000,0.0000,0.0000,2.2378,0.0001,200,8.0597
2.4305,0.0000,0.0000,0.0000,2.4304,0.0001,200,7.9679
2.3143,0.0000,0.0000,0.0000,2.3142,0.0001,200,8.1224
2.3671,0.0000,0.0000,0.0000,2.3670,0.0001,200,8.1206
2.5155,0.0000,0.0000,0.0000,2.5154,0.0001,200,8.0342
2.3728,0.0000,0.0000,0.0000,2.3727,0.0001,200,8.2609
2.7900,0.0000,0.0000,0.0000,2.7899,0.0001,200,7.8706
2.6067,0.0000,0.0000,0.0000,2.6066,0.0000,200,8.0656
2.5801,0.0000,0.0000,0.0000,2.5800,0.0000,200,8.1100
2.3347,0.0000,0.0000,0.0000,2.3346,0.0001,200,8.5175
2.3738,0.0000,0.0000,0.0000,2.3736,0.0001,200,8.5064
2.5746,0.0000,0.0000,0.0000,2.5745,0.0001,200,8.3701
2.3011,0.0000,0.0000,0.0000,2.3010,0.0000,200,8.6526
2.6251,0.0000,0.0000,0.0000,2.6250,0.0001,200,8.3666
2.5499,0.0000,0.0000,0.0000,2.5498,0.0000,200,8.4584
2.4173,0.0000,0.0000,0.0000,2.4172,0.0000,200,8.6047
2.5719,0.0000,0.0000,0.0000,2.5718,0.0001,200,8.5128
2.4887,0.0000,0.0000,0.0000,2.4886,0.0001,200,8.6270
2.3728,0.0000,0.0000,0.0000,2.3726,0.0001,200,8.7702
2.7027,0.0000,0.0000,0.0000,2.7025,0.0000,200,8.4426
2.5282,0.0000,0.0000,0.0000,2.5281,0.0001,200,8.6666
2.4655,0.0000,0.0000,0.0000,2.4653,0.0001,200,8.7998
2.4770,0.0000,0.0000,0.0000,2.4769,0.0001,200,8.8028
2.7371,0.0000,0.0000,0.0000,2.7370,0.0001,200,8.5432
2.7157,0.0000,0.0000,0.0000,2.7156,0.0001,200,8.5937
2.7337,0.0000,0.0000,0.0000,2.7336,0.0001,200,8.6057
2.4895,0.0000,0.0000,0.0000,2.4894,0.0001,200,8.8568
2.1091,0.0000,0.0000,0.0000,2.1090,0.0001,200,9.2452
2.6553,0.0000,0.0000,0.0000,2.6551,0.0001,200,8.7283
2.2402,0.0000,0.0000,0.0000,2.2401,0.0001,200,9.1817
2.2968,0.0000,0.0000,0.0000,2.2967,0.0001,200,9.2079
2.5999,0.0000,0.0000,0.0000,2.5998,0.0000,200,8.9050
2.3919,0.0000,0.0000,0.0000,2.3918,0.0001,200,9.1349
2.5757,0.0000,0.0000,0.0000,2.5756,0.0000,200,8.9575
2.7658,0.0000,0.0000,0.0000,2.7657,0.0001,200,8.8264
2.9977,0.0000,0.0000,0.0000,2.9977,0.0000,200,8.6058
2.3758,0.0000,0.0000,0.0000,2.3757,0.0001,200,9.3100
2.7408,0.0000,0.0000,0.0000,2.7406,0.0001,200,9.0330
2.1348,0.0000,0.0000,0.0000,2.1347,0.0001,200,9.6521
2.6473,0.0000,0.0000,0.0000,2.6471,0.0001,200,9.2001
2.3703,0.0000,0.0000,0.0000,2.3702,0.0001,200,9.5216
2.8078,0.0000,0.0000,0.0000,2.8077,0.0001,200,9.1440
2.3669,0.0000,0.0000,0.0000,2.3668,0.0001,200,9.6811
2.3330,0.0000,0.0000,0.0000,2.3328,0.0001,200,10.0202
2.4833,0.0000,0.0000,0.0000,2.4832,0.0001,200,9.8917
2.1937,0.0000,0.0000,0.0000,2.1935,0.0001,200,10.2284
2.5107,0.0000,0.0000,0.0000,2.5106,0.0001,200,10.0261
2.4600,0.0000,0.0000,0.0000,2.4598,0.0001,200,10.1123
2.4385,0.0000,0.0000,0.0000,2.4384,0.0001,200,10.2623
2.6477,0.0000,0.0000,0.0000,2.6476,0.0001,200,10.0908
2.5010,0.0000,0.0000,0.0000,2.5008,0.0001,200,10.2977
2.2920,0.0000,0.0000,0.0000,2.2919,0.0001,200,10.5497
2.3858,0.0000,0.0000,0.0000,2.3857,0.0001,200,10.4876
2.2922,0.0000,0.0000,0.0000,2.2921,0.0001,200,10.6606
2.3889,0.0000,0.0000,0.0000,2.3888,0.0001,200,10.6900
2.7069,0.0000,0.0000,0.0000,2.7068,0.0001,200,10.3984
2.4874,0.0000,0.0000,0.0000,2.4873,0.0001,200,10.6337
2.2746,0.0000,0.0000,0.0000,2.2745,0.0000,200,10.8522
2.7068,0.0000,0.0000,0.0000,2.7067,0.0000,200,10.4367
2.5312,0.0000,0.0000,0.0000,2.5311,0.0001,200,10.6723
2.3350,0.0000,0.0000,0.0000,2.3349,0.0000,200,10.8801
2.3048,0.0000,0.0000,0.0000,2.3047,0.0001,200,10.9537
2.3753,0.0000,0.0000,0.0000,2.3752,0.0001,200,10.9447
2.3476,0.0000,0.0000,0.0000,2.3474,0.0001,200,11.0220
